geneID	expression	avg_exonNum	max_exonNum	fibroblast_specificity	geneSymbol	geneClass	epiGeneClass	DHS_type	conservation	Chr.cpm	Nuc.cpm	Cyt.cpm	localization	transcriptType
CATG00000000002	0	1	1	0	CATG00000000002.1	coding_mRNA	__na	not_DHS	0	0.0409225134446276	0.009299025355716	0	Chromatin bound	other
CATG00000000003	0.00111093811469521	2	2	0.377104377104377	CATG00000000003.1	sense_overlap_RNA	__na	not_DHS	0	0	0	0	other	other
CATG00000000004	0.0136139944933316	1	1	0.116363636363636	CATG00000000004.1	lncRNA_divergent	p_lncRNA_divergent	DHS_promoter	460.6	0	0	0	other	FANTOM CAT lncRNA
CATG00000000005	0.000539734630526554	1	1	0.035303776683087	CATG00000000005.1	lncRNA_intergenic	e_lncRNA	DHS_enhancer	0	0	0	0	other	FANTOM CAT lncRNA
CATG00000000006	0.00174750941634596	1	1	0.0793911220490384	CATG00000000006.1	lncRNA_divergent	__na	not_DHS	0	0	0	0	other	FANTOM CAT lncRNA
CATG00000000008	0.0154053976031396	1	1	0.0141605283210566	CATG00000000008.1	lncRNA_divergent	p_lncRNA_divergent	DHS_promoter	384.5	0.00433371759383981	0.0747269226339049	0	Nuclear soluble	FANTOM CAT lncRNA
CATG00000000010	0.188942199937485	1	1	0.158832261256804	CATG00000000010.1	lncRNA_divergent	p_lncRNA_divergent	DHS_promoter	630	0.112260553806217	0.426889969844143	0.158292723309708	Nuclear soluble	Expressed lncRNA
CATG00000000011	0.279937595052011	1	1	0.245264207377866	CATG00000000011.1	lncRNA_divergent	p_lncRNA_divergent	DHS_promoter	732.8	0.156986496727136	0.316025491305034	0.0634361834645984	Nuclear soluble	Expressed lncRNA
CATG00000000015	0.00178000471539855	1	1	0.536748329621381	CATG00000000015.1	lncRNA_antisense	__na	not_DHS	859	0.00109216536417866	0.00193918402946278	0.00157078161396899	Nuclear soluble	FANTOM CAT lncRNA
CATG00000000017	0	4	4	0.244618395303327	CATG00000000017.1	lncRNA_divergent	p_lncRNA_divergent	DHS_promoter	443.5	0	0	0	other	FANTOM CAT lncRNA
CATG00000000018	0.000606021141019354	1	1	0.0901851483177384	CATG00000000018.1	coding_mRNA	__na	DHS_dyadic	504.6	0.0979488864450802	0.0172168805802118	0.00188575852559374	Chromatin bound	other
CATG00000000020	0	3	3	0.0853764562684751	CATG00000000020.1	coding_mRNA	__na	not_DHS	0	0.216199825781105	0.0236768841331477	0.00160796748046906	Chromatin bound	other
CATG00000000022	0	2	2	0	CATG00000000022.1	lncRNA_intergenic	__na	DHS_dyadic	431.7	0	0	0	other	FANTOM CAT lncRNA
CATG00000000023	0	2	2	0.119365609348915	CATG00000000023.1	lncRNA_intergenic	e_lncRNA	DHS_enhancer	595.6	0	0	0	other	FANTOM CAT lncRNA
CATG00000000025	0.0891943278999266	2.67	3	0.434985422740525	CATG00000000025.1	lncRNA_divergent	p_lncRNA_divergent	DHS_promoter	2097.3	0	0	0	other	FANTOM CAT lncRNA
CATG00000000026	0.0279370760182841	1.67	2	0.530973451327434	CATG00000000026.1	lncRNA_antisense	__na	not_DHS	389.5	0	0	0	other	FANTOM CAT lncRNA
CATG00000000027	0.00196953330620161	3.57	5	0.0503035559410234	CATG00000000027.1	lncRNA_intergenic	__na	not_DHS	0	0.0196660765066206	0	0	Chromatin bound	FANTOM CAT lncRNA
CATG00000000029	0.00507122986610591	1	1	0.0143668559973271	CATG00000000029.1	lncRNA_intergenic	__na	not_DHS	0	0.102960169146168	0.00339660488753697	0.0314217430569658	Chromatin bound	FANTOM CAT lncRNA
CATG00000000031	0.0763062866285721	1	1	0.128516271373414	CATG00000000031.1	lncRNA_divergent	p_lncRNA_divergent	DHS_promoter	2011.6	0.66776119869565	0.131174449057187	0.074986789234832	Chromatin bound	FANTOM CAT lncRNA
CATG00000000034	0.0226030397914444	3	3	0.244935543278085	CATG00000000034.1	lncRNA_sense_intronic	__na	not_DHS	0	1.83262814857471	0.101896625782922	0	Chromatin bound	FANTOM CAT lncRNA
CATG00000000035	0.0235712573587591	1.5	2	0.035626842552341	CATG00000000035.1	sense_overlap_RNA	__na	not_DHS	0	0.971996725641678	0.332915356775332	0.0207387632068588	Chromatin bound	other
CATG00000000036	0.026888503725009	1	1	0.141538461538462	CATG00000000036.1	lncRNA_sense_intronic	e_lncRNA	DHS_enhancer	81.9	5.06611103054381	0.83911569625063	0.0948566658478334	Chromatin bound	FANTOM CAT lncRNA
CATG00000000039	0.00103505634823335	1	1	0.14800655379574	CATG00000000039.1	lncRNA_intergenic	e_lncRNA	DHS_enhancer	0	0.0896577260437016	0	0	Chromatin bound	FANTOM CAT lncRNA
CATG00000000042	0.00934717747539777	1	1	0.0647832440331223	CATG00000000042.1	lncRNA_divergent	p_lncRNA_divergent	DHS_promoter	877.1	0	0	0	other	FANTOM CAT lncRNA
CATG00000000043	0.0262353438432405	1	1	0.366197183098592	CATG00000000043.1	lncRNA_antisense	__na	not_DHS	1625.7	0.0218475519824961	0	0.0160069253111456	Chromatin bound	FANTOM CAT lncRNA
CATG00000000044	0.0024032401111065	1	1	0.251219512195122	CATG00000000044.1	short_ncRNA	__na	DHS_dyadic	292.1	0	0	0	other	other
CATG00000000046	0	1	1	0.348677766895201	CATG00000000046.1	coding_mRNA	__na	not_DHS	327.5	0	0	0	other	other
CATG00000000047	0.00134200113904274	1	1	0	CATG00000000047.1	lncRNA_antisense	__na	not_DHS	467.9	0	0	0	other	FANTOM CAT lncRNA
CATG00000000050	0.000566523395884757	1	1	0	CATG00000000050.1	lncRNA_intergenic	__na	not_DHS	0	0	0	0	other	FANTOM CAT lncRNA
CATG00000000051	0.0820903725709016	1	1	0.233991621783363	CATG00000000051.1	lncRNA_divergent	p_lncRNA_divergent	DHS_promoter	179.5	0.0226031038500692	0.270098990429814	0	Nuclear soluble	FANTOM CAT lncRNA
CATG00000000052	0	1	1	0	CATG00000000052.1	lncRNA_intergenic	e_lncRNA	DHS_enhancer	0	0	0	0	other	FANTOM CAT lncRNA
CATG00000000053	0	1	1	0.144760532949226	CATG00000000053.1	short_ncRNA	__na	DHS_enhancer	0	0	0	0	other	other
CATG00000000054	0.00133485006152117	1	1	0.0313182811361981	CATG00000000054.1	lncRNA_intergenic	__na	not_DHS	0	0	0	0	other	FANTOM CAT lncRNA
CATG00000000055	0.0507101339791685	1	1	0.298367488711358	CATG00000000055.1	lncRNA_divergent	p_lncRNA_divergent	DHS_promoter	0	0	0.0679313373291458	0	Nuclear soluble	FANTOM CAT lncRNA
CATG00000000056	0.000606021141019354	2.6	3	0.0501165501165501	CATG00000000056.1	lncRNA_intergenic	e_lncRNA	DHS_enhancer	0	0	0	0	other	FANTOM CAT lncRNA
CATG00000000057	0	1	1	0	CATG00000000057.1	lncRNA_intergenic	__na	not_DHS	0	0	0	0	other	FANTOM CAT lncRNA
CATG00000000059	0	1	1	0.167641325536062	CATG00000000059.1	lncRNA_intergenic	__na	not_DHS	0	0	0	0	other	FANTOM CAT lncRNA
CATG00000000060	0.000437343229670552	1	1	0	CATG00000000060.1	lncRNA_intergenic	e_lncRNA	DHS_enhancer	0	0	0	0	other	FANTOM CAT lncRNA
CATG00000000061	0	1	1	0	CATG00000000061.1	lncRNA_antisense	__na	not_DHS	0	0.026745923229427	0.00775805739648823	0	Chromatin bound	FANTOM CAT lncRNA
CATG00000000062	0	1	1	0	CATG00000000062.1	lncRNA_intergenic	__na	not_DHS	0	0	0	0	other	FANTOM CAT lncRNA
CATG00000000065	0.00303733012107025	5	6	0.471485036702428	CATG00000000065.1	coding_mRNA	__na	DHS_enhancer	886.5	0	0	0	other	other
CATG00000000067	0.000501657888235665	1	1	0.301587301587302	CATG00000000067.1	lncRNA_intergenic	e_lncRNA	DHS_enhancer	0	0.0218474653559875	0.033965354577393	0	Nuclear soluble	FANTOM CAT lncRNA
CATG00000000068	0.0615075669872403	2	2	0.197930142302717	CATG00000000068.1	short_ncRNA	__na	DHS_promoter	233	0	0	0	other	other
CATG00000000069	0.00160962828558897	1	1	0.308823529411765	CATG00000000069.1	lncRNA_antisense	__na	not_DHS	351.4	0	0	0	other	FANTOM CAT lncRNA
CATG00000000070	0.00112556776559901	2.2	3	0	CATG00000000070.1	lncRNA_antisense	e_lncRNA	DHS_enhancer	1305.7	0.0392882000584851	0.0058217801800271	0.00451999118507625	Chromatin bound	FANTOM CAT lncRNA
CATG00000000071	0	3	3	0.156773211567732	CATG00000000071.1	lncRNA_divergent	e_lncRNA	DHS_enhancer	0	0.00109181885814414	0.00323260256274135	0	Nuclear soluble	FANTOM CAT lncRNA
CATG00000000072	0.196739866213825	1	1	0.20552677029361	CATG00000000072.1	lncRNA_intergenic	__na	DHS_dyadic	419.5	0.0218465990909012	0.181177178326039	0.0628452320503847	Nuclear soluble	Expressed lncRNA
CATG00000000073	0	2.67	3	0.201834862385321	CATG00000000073.1	coding_mRNA	coding_mRNA	DHS_promoter	593.8	0	0	0	other	other
CATG00000000075	0	2	2	0	CATG00000000075.1	lncRNA_antisense	e_lncRNA	DHS_enhancer	971.3	0	0	0	other	FANTOM CAT lncRNA
CATG00000000076	0	3	3	0	CATG00000000076.1	lncRNA_antisense	__na	not_DHS	0	0	0	0	other	FANTOM CAT lncRNA
CATG00000000077	0	3	3	0.133192389006342	CATG00000000077.1	lncRNA_antisense	e_lncRNA	DHS_enhancer	726.3	0	0	0	other	FANTOM CAT lncRNA
CATG00000000078	0	2.5	4	0	CATG00000000078.1	uncertain_coding	__na	DHS_enhancer	550.5	0	0	0	other	other
CATG00000000079	0.00939719184310147	2	2	0.037111334002006	CATG00000000079.1	lncRNA_sense_intronic	__na	DHS_dyadic	373.7	0.842534117966272	0.0924456271421028	0	Chromatin bound	FANTOM CAT lncRNA
CATG00000000081	0.000606307639201876	2	2	0	CATG00000000081.1	lncRNA_antisense	e_lncRNA	DHS_enhancer	0	0	0	0	other	FANTOM CAT lncRNA
CATG00000000082	0.0137435825908232	2	2	0.0854751942618051	CATG00000000082.1	sense_overlap_RNA	__na	not_DHS	0	0.933968129208535	0.426277403773924	0.0320133732634096	Chromatin bound	other
CATG00000000083	0.000912159704978394	1	1	0.0241752707126668	CATG00000000083.1	lncRNA_intergenic	e_lncRNA	DHS_enhancer	0	0	0.072756316385552	0	Nuclear soluble	FANTOM CAT lncRNA
CATG00000000084	0	1.5	2	0	CATG00000000084.1	lncRNA_intergenic	e_lncRNA	DHS_enhancer	0	0	0	0	other	FANTOM CAT lncRNA
CATG00000000085	0	2	2	0.303695150115473	CATG00000000085.1	lncRNA_divergent	__na	not_DHS	154.8	0	0	0	other	FANTOM CAT lncRNA
CATG00000000086	0.274978084479591	1	1	0.259024699176694	CATG00000000086.1	lncRNA_intergenic	p_lncRNA_intergenic	DHS_promoter	0	0.0670543592006215	0.57713563582878	0.031422179541079	Nuclear soluble	Expressed lncRNA
CATG00000000088	0	1	1	0.0377543515567541	CATG00000000088.1	lncRNA_intergenic	__na	DHS_dyadic	0	0	0	0	other	FANTOM CAT lncRNA
CATG00000000089	0.0535553449516565	2	2	0.457617071724956	CATG00000000089.1	lncRNA_divergent	p_lncRNA_divergent	DHS_promoter	215	0	0.2717254154402	0.0640262373440122	Nuclear soluble	FANTOM CAT lncRNA
CATG00000000090	0	1.5	2	0.474264705882353	CATG00000000090.1	coding_mRNA	__na	DHS_enhancer	4425.7	0.0226040236850039	0.252234025888772	0.0634375694945646	Nuclear soluble	other
CATG00000000091	0.00373326267192763	1	1	0.0452961672473868	CATG00000000091.1	lncRNA_intergenic	e_lncRNA	DHS_enhancer	0	0.00689664577726251	0.0249545422793665	0.00290988427002691	Nuclear soluble	FANTOM CAT lncRNA
CATG00000000092	0	1	1	0.207700101317123	CATG00000000092.1	lncRNA_intergenic	e_lncRNA	DHS_enhancer	272.2	0	0	0	other	FANTOM CAT lncRNA
CATG00000000093	0	2	2	0.218390804597701	CATG00000000093.1	lncRNA_intergenic	__na	not_DHS	0	0	0	0	other	FANTOM CAT lncRNA
CATG00000000094	0.000501657888235665	1	1	0.0879382055852644	CATG00000000094.1	sense_overlap_RNA	__na	DHS_enhancer	97.6	0.0218475303258689	0	0	Chromatin bound	other
CATG00000000096	0.0154516461573906	1.4	2	0.213226909920182	CATG00000000096.1	lncRNA_intergenic	__na	DHS_dyadic	2121.4	0.0777041586174171	0.00169795529478013	0.0159097769825129	Chromatin bound	FANTOM CAT lncRNA
CATG00000000097	0	3	3	0.600277585010409	CATG00000000097.1	lncRNA_intergenic	__na	not_DHS	351.8	0	0	0	other	FANTOM CAT lncRNA
CATG00000000098	0	2.5	3	0	CATG00000000098.1	lncRNA_divergent	e_lncRNA	DHS_enhancer	309.2	0	0	0	other	FANTOM CAT lncRNA
CATG00000000100	0.129060711427919	1	1	0.170588235294118	CATG00000000100.1	lncRNA_intergenic	e_lncRNA	DHS_enhancer	622.1	0.111813607655426	0.25444312515754	0.096428380845436	Nuclear soluble	FANTOM CAT lncRNA
CATG00000000105	0.21432937944122	2.2	3	0.205736348593491	CATG00000000105.1	lncRNA_divergent	p_lncRNA_divergent	DHS_promoter	4189.7	0.225603389968276	1.28530807975711	0.111196992867864	Nuclear soluble	Expressed lncRNA
CATG00000000106	0.00141301169847416	3	3	0.379113018597997	CATG00000000106.1	coding_mRNA	coding_mRNA	DHS_promoter	4189.7	0	0	0	other	other
CATG00000000107	0.414909614132465	1.33	2	0.167071393880525	CATG00000000107.1	coding_mRNA	__na	DHS_dyadic	465.7	0.332587787453753	1.45073216999629	0.0681778263649189	Nuclear soluble	other
CATG00000000109	0.000728574468696462	1	1	0.467289719626168	CATG00000000109.1	short_ncRNA	__na	DHS_dyadic	342.1	0	0	0	other	other
CATG00000000110	0.492038561456522	1.5	3	0.13316865034808	CATG00000000110.1	uncertain_coding	__na	DHS_enhancer	363.5	0.158635550382678	0.53307301716096	0.12624233925348	Nuclear soluble	other
CATG00000000111	0.00346447478958602	1	1	0.0652511651993786	CATG00000000111.1	sense_overlap_RNA	__na	DHS_enhancer	218	0	0	0	other	other
CATG00000000112	0.020570831501647	1.5	2	0.302184466019417	CATG00000000112.1	lncRNA_intergenic	e_lncRNA	DHS_enhancer	208.7	0.0116518284830281	0.00363731870031434	0.0596652043269033	Cytoplasmic	FANTOM CAT lncRNA
CATG00000000113	0.0244299831667284	1	1	0.243010752688172	CATG00000000113.1	sense_overlap_RNA	__na	not_DHS	0	0.429839856516421	0.0452104781807722	0.065006553307003	Chromatin bound	other
CATG00000000115	0.00368360319827222	2	2	0.317073170731707	CATG00000000115.1	sense_overlap_RNA	__na	not_DHS	375.8	0.848448050988981	0	0.0628444526144681	Chromatin bound	other
CATG00000000116	0.0265380250602481	1	1	0.0835140997830803	CATG00000000116.1	sense_overlap_RNA	__na	not_DHS	0	0.337358329364489	0.00652121027724198	0.00483427979669702	Chromatin bound	other
CATG00000000117	0.0151126264486209	1	1	0.0964863357501394	CATG00000000117.1	sense_overlap_RNA	__na	not_DHS	553.5	1.94078961682653	0.0376020024247795	0.0314208389113025	Chromatin bound	other
CATG00000000119	0.000750031905646859	1	1	0.340519974635384	CATG00000000119.1	sense_overlap_RNA	__na	not_DHS	0	0.834945565539794	0.0384830853882898	0.0329925870258081	Chromatin bound	other
CATG00000000120	0.00887966385734712	1	1	0.227624309392265	CATG00000000120.1	sense_overlap_RNA	__na	not_DHS	411.2	1.13427348283059	0.0387913440053508	0	Chromatin bound	other
CATG00000000121	0.0172159096808718	1	1	0.0452217689436681	CATG00000000121.1	sense_overlap_RNA	__na	not_DHS	0	2.04982881586796	0.0775821594992468	0.000817285324691022	Chromatin bound	other
CATG00000000123	0.0163713292167107	1	1	0.190968955785513	CATG00000000123.1	lncRNA_sense_intronic	__na	not_DHS	0	1.94020725645722	0.00594395110231235	0.0954486467639458	Chromatin bound	FANTOM CAT lncRNA
